Date;Transmitter;Window;
;;Maximum [h];Effective [h]
2016-07-20;DHO 23.4;12;12
2016-07-20;GBZ 19.6;12;12
2016-07-20;GQD 22.1;12;12
2016-07-20;HWU 21.8;12;12
2016-07-20;ICV 20.3;12;12
2016-07-19;DHO 23.4;12;12
2016-07-19;GBZ 19.6;12;12
2016-07-19;GQD 22.1;12;12
2016-07-19;HWU 21.8;12;12
2016-07-19;ICV 20.3;12;12
2016-07-18;DHO 23.4;12;12
2016-07-18;GBZ 19.6;12;12
2016-07-18;GQD 22.1;12;12
2016-07-18;HWU 21.8;12;12
2016-07-18;ICV 20.3;12;12
2016-07-17;DHO 23.4;12;12
2016-07-17;GBZ 19.6;12;12
2016-07-17;GQD 22.1;12;12
2016-07-17;HWU 21.8;12;12
2016-07-17;ICV 20.3;12;12
2016-07-16;DHO 23.4;12;12
2016-07-16;GBZ 19.6;12;12
2016-07-16;GQD 22.1;12;12
2016-07-16;HWU 21.8;12;12
2016-07-16;ICV 20.3;12;12
2016-07-15;DHO 23.4;12;12
2016-07-15;GBZ 19.6;12;12
2016-07-15;GQD 22.1;12;12
2016-07-15;HWU 21.8;12;12
2016-07-15;ICV 20.3;12;12
2016-07-14;DHO 23.4;12;12
2016-07-14;GBZ 19.6;12;12
2016-07-14;GQD 22.1;12;12
2016-07-14;HWU 21.8;12;12
2016-07-14;ICV 20.3;12;12
2016-07-13;DHO 23.4;12;12
2016-07-13;GBZ 19.6;12;12
2016-07-13;GQD 22.1;12;12
2016-07-13;HWU 21.8;12;12
2016-07-13;ICV 20.3;12;12
2016-07-12;DHO 23.4;12;12
2016-07-12;GBZ 19.6;12;12
2016-07-12;GQD 22.1;12;12
2016-07-12;HWU 21.8;12;12
2016-07-12;ICV 20.3;12;12
2016-07-11;DHO 23.4;12;12
2016-07-11;GBZ 19.6;12;12
2016-07-11;GQD 22.1;12;12
2016-07-11;HWU 21.8;12;12
2016-07-11;ICV 20.3;12;12
2016-07-10;DHO 23.4;12;12
2016-07-10;GBZ 19.6;12;12
2016-07-10;GQD 22.1;12;12
2016-07-10;HWU 21.8;12;12
2016-07-10;ICV 20.3;12;12
2016-07-09;DHO 23.4;12;12
2016-07-09;GBZ 19.6;12;12
2016-07-09;GQD 22.1;12;12
2016-07-09;HWU 21.8;12;12
2016-07-09;ICV 20.3;12;12
2016-07-08;DHO 23.4;12;12
2016-07-08;GBZ 19.6;12;12
2016-07-08;GQD 22.1;12;12
2016-07-08;HWU 21.8;12;12
2016-07-08;ICV 20.3;12;12
2016-07-07;DHO 23.4;12;12
2016-07-07;GBZ 19.6;12;12
2016-07-07;GQD 22.1;12;12
2016-07-07;HWU 21.8;12;12
2016-07-07;ICV 20.3;12;12
2016-07-06;DHO 23.4;12;12
2016-07-06;GBZ 19.6;12;12
2016-07-06;GQD 22.1;12;12
2016-07-06;HWU 21.8;12;12
2016-07-06;ICV 20.3;12;12
2016-07-05;DHO 23.4;12;12
2016-07-05;GBZ 19.6;12;12
2016-07-05;GQD 22.1;12;12
2016-07-05;HWU 21.8;12;12
2016-07-05;ICV 20.3;12;12
2016-07-04;DHO 23.4;12;12
2016-07-04;GBZ 19.6;12;12
2016-07-04;GQD 22.1;12;12
2016-07-04;HWU 21.8;12;12
2016-07-04;ICV 20.3;12;12
2016-07-03;DHO 23.4;12;12
2016-07-03;GBZ 19.6;12;12
2016-07-03;GQD 22.1;12;12
2016-07-03;HWU 21.8;12;12
2016-07-03;ICV 20.3;12;12
2016-07-02;DHO 23.4;12;12
2016-07-02;GBZ 19.6;12;12
2016-07-02;GQD 22.1;12;12
2016-07-02;HWU 21.8;12;12
2016-07-02;ICV 20.3;12;12
2016-07-01;DHO 23.4;12;12
2016-07-01;GBZ 19.6;12;12
2016-07-01;GQD 22.1;12;12
2016-07-01;HWU 21.8;12;12
2016-07-01;ICV 20.3;12;12
2016-06-30;DHO 23.4;12;12
2016-06-30;GBZ 19.6;12;12
2016-06-30;GQD 22.1;12;12
2016-06-30;HWU 21.8;12;12
2016-06-30;ICV 20.3;12;12
2016-06-29;DHO 23.4;12;12
2016-06-29;GBZ 19.6;12;12
2016-06-29;GQD 22.1;12;12
2016-06-29;HWU 21.8;12;12
2016-06-29;ICV 20.3;12;12
2016-06-28;DHO 23.4;12;12
2016-06-28;GBZ 19.6;12;12
2016-06-28;GQD 22.1;12;12
2016-06-28;HWU 21.8;12;12
2016-06-28;ICV 20.3;12;12
2016-06-27;DHO 23.4;12;12
2016-06-27;GBZ 19.6;12;12
2016-06-27;GQD 22.1;12;12
2016-06-27;HWU 21.8;12;12
2016-06-27;ICV 20.3;12;12
2016-06-26;DHO 23.4;12;12
2016-06-26;GBZ 19.6;12;12
2016-06-26;GQD 22.1;12;12
2016-06-26;HWU 21.8;12;12
2016-06-26;ICV 20.3;12;12
2016-06-25;DHO 23.4;12;12
2016-06-25;GBZ 19.6;12;12
2016-06-25;GQD 22.1;12;12
2016-06-25;HWU 21.8;12;12
2016-06-25;ICV 20.3;12;12
2016-06-24;DHO 23.4;12;12
2016-06-24;GBZ 19.6;12;12
2016-06-24;GQD 22.1;12;12
2016-06-24;HWU 21.8;12;12
2016-06-24;ICV 20.3;12;12
2016-06-23;DHO 23.4;12;12
2016-06-23;GBZ 19.6;12;12
2016-06-23;GQD 22.1;12;12
2016-06-23;HWU 21.8;12;12
2016-06-23;ICV 20.3;12;12
2016-06-22;DHO 23.4;12;12
2016-06-22;GBZ 19.6;12;12
2016-06-22;GQD 22.1;12;12
2016-06-22;HWU 21.8;12;12
2016-06-22;ICV 20.3;12;12
2016-06-21;DHO 23.4;12;12
2016-06-21;GBZ 19.6;12;12
2016-06-21;GQD 22.1;12;12
2016-06-21;HWU 21.8;12;12
2016-06-21;ICV 20.3;12;12
2016-06-20;DHO 23.4;12;12
2016-06-20;GBZ 19.6;12;12
2016-06-20;GQD 22.1;12;12
2016-06-20;HWU 21.8;12;12
2016-06-20;ICV 20.3;12;12
2016-06-19;DHO 23.4;12;12
2016-06-19;GBZ 19.6;12;12
2016-06-19;GQD 22.1;12;12
2016-06-19;HWU 21.8;12;12
2016-06-19;ICV 20.3;12;12
2016-06-18;DHO 23.4;12;12
2016-06-18;GBZ 19.6;12;12
2016-06-18;GQD 22.1;12;12
2016-06-18;HWU 21.8;12;12
2016-06-18;ICV 20.3;12;12
2016-06-17;DHO 23.4;12;12
2016-06-17;GBZ 19.6;12;12
2016-06-17;GQD 22.1;12;12
2016-06-17;HWU 21.8;12;12
2016-06-17;ICV 20.3;12;12
2016-06-16;DHO 23.4;12;12
2016-06-16;GBZ 19.6;12;12
2016-06-16;GQD 22.1;12;12
2016-06-16;HWU 21.8;12;12
2016-06-16;ICV 20.3;12;12
2016-06-15;DHO 23.4;12;12
2016-06-15;GBZ 19.6;12;12
2016-06-15;GQD 22.1;12;12
2016-06-15;HWU 21.8;12;12
2016-06-15;ICV 20.3;12;12
2016-06-14;DHO 23.4;12;12
2016-06-14;GBZ 19.6;12;12
2016-06-14;GQD 22.1;12;12
2016-06-14;HWU 21.8;12;12
2016-06-14;ICV 20.3;12;12
2016-06-13;DHO 23.4;12;12
2016-06-13;GBZ 19.6;12;12
2016-06-13;GQD 22.1;12;12
2016-06-13;HWU 21.8;12;12
2016-06-13;ICV 20.3;12;12
2016-06-12;DHO 23.4;12;12
2016-06-12;GBZ 19.6;12;12
2016-06-12;GQD 22.1;12;12
2016-06-12;HWU 21.8;12;12
2016-06-12;ICV 20.3;12;12
2016-06-11;DHO 23.4;12;12
2016-06-11;GBZ 19.6;12;12
2016-06-11;GQD 22.1;12;12
2016-06-11;HWU 21.8;12;12
2016-06-11;ICV 20.3;12;12
2016-06-10;DHO 23.4;12;12
2016-06-10;GBZ 19.6;12;12
2016-06-10;GQD 22.1;12;12
2016-06-10;HWU 21.8;12;12
2016-06-10;ICV 20.3;12;12
2016-06-09;DHO 23.4;12;12
2016-06-09;GBZ 19.6;12;12
2016-06-09;GQD 22.1;12;12
2016-06-09;HWU 21.8;12;12
2016-06-09;ICV 20.3;12;12
2016-06-08;DHO 23.4;12;12
2016-06-08;GBZ 19.6;12;12
2016-06-08;GQD 22.1;12;12
2016-06-08;HWU 21.8;12;12
2016-06-08;ICV 20.3;12;12
2016-06-07;DHO 23.4;12;12
2016-06-07;GBZ 19.6;12;12
2016-06-07;GQD 22.1;12;12
2016-06-07;HWU 21.8;12;12
2016-06-07;ICV 20.3;12;12
2016-06-06;DHO 23.4;12;12
2016-06-06;GBZ 19.6;12;12
2016-06-06;GQD 22.1;12;12
2016-06-06;HWU 21.8;12;12
2016-06-06;ICV 20.3;12;12
2016-06-05;DHO 23.4;12;12
2016-06-05;GBZ 19.6;12;12
2016-06-05;GQD 22.1;12;12
2016-06-05;HWU 21.8;12;12
2016-06-05;ICV 20.3;12;12
2016-06-04;DHO 23.4;12;12
2016-06-04;GBZ 19.6;12;12
2016-06-04;GQD 22.1;12;12
2016-06-04;HWU 21.8;12;12
2016-06-04;ICV 20.3;12;12
2016-06-03;DHO 23.4;12;12
2016-06-03;GBZ 19.6;12;12
2016-06-03;GQD 22.1;12;12
2016-06-03;HWU 21.8;12;12
