Date;Begin;;Maximum;;End;;Duration;Definition;Transmitter
;Time [UT];Qualifier;Time [UT];Qualifier;Time [UT];Qualifier;;;
2016-07-18;8:14;;8:25;;9:21;;1h 7m;5;ICV 20.3
2016-07-16;7:00;;7:07;;8:09;;1h 9m;5;GQD 22.1
2016-07-16;7:00;;7:07;;8:09;;1h 9m;5;ICV 20.3
2016-07-07;7:54;;8:03;;8:59;;1h 5m;4;DHO 23.4
2016-07-07;7:54;;8:03;;8:59;;1h 5m;4;GQD 22.1
2016-07-07;7:54;;8:03;;8:59;;1h 5m;4;ICV 20.3
2016-07-05;10:30;;10:47;;11:16;;46m;3;DHO 23.4
2016-07-04;15:43;;15:51;;16:11;;28m;5;DHO 23.4
2016-07-04;15:43;;15:51;;16:11;;28m;5;GQD 22.1
2016-07-04;15:43;;15:51;;16:11;;28m;5;ICV 20.3
2016-06-19;11:45;;12:02;;12:27;;42m;4;DHO 23.4
2016-06-19;11:45;;12:02;;12:27;;42m;4;GQD 22.1
2016-05-15;8:13;;8:31;;8:53;;40m;5;DHO 23.4
2016-05-15;8:13;;8:31;;8:53;;40m;5;GQD 22.1
2016-05-15;8:13;;8:31;;8:53;;40m;5;ICV 20.3
2016-05-14;15:17;;15:24;;16:07;;50m;5;DHO 23.4
2016-05-14;11:29;;11:35;;12:56;;1h 27m;5;DHO 23.4
2016-05-14;9:26;;9:34;;10:14;;48m;5;DHO 23.4
2016-05-14;15:17;;15:24;;16:07;;50m;5;GQD 22.1
2016-05-14;11:29;;11:35;;12:56;;1h 27m;5;GQD 22.1
2016-05-14;9:26;;9:34;;10:14;;48m;5;GQD 22.1
2016-05-14;15:17;;15:24;;16:07;;50m;5;ICV 20.3
2016-05-07;11:09;;11:13;;11:48;;39m;5;DHO 23.4
2016-05-07;11:09;;11:13;;11:48;;39m;5;GQD 22.1
2016-05-02;8:33;;8:45;;9:13;;40m;5;DHO 23.4
2016-05-02;8:33;;8:45;;9:13;;40m;5;GQD 22.1
2016-05-02;8:33;;8:45;;9:13;;40m;5;ICV 20.3
2016-05-01;9:19;;9:23;;9:37;;18m;4;DHO 23.4
2016-05-01;9:19;;9:23;;9:37;;18m;4;GQD 22.1
2016-04-28;12:48;;12:52;;13:16;;28m;4;DHO 23.4
2016-04-28;12:48;;12:52;;13:16;;28m;4;GQD 22.1
2016-04-28;12:48;;12:52;;13:16;;28m;4;ICV 20.3
2016-04-15;14:22;;14:33;;15:19;;57m;5;DHO 23.4
2016-04-15;14:22;;14:33;;15:19;;57m;5;GQD 22.1
2016-04-15;14:22;;14:33;;15:19;;57m;5;ICV 20.3
2016-04-14;13:24;;13:31;;14:02;;38m;5;DHO 23.4
2016-04-14;13:24;;13:31;;14:02;;38m;5;GQD 22.1
2016-04-14;13:24;;13:31;;14:02;;38m;5;ICV 20.3
2016-04-09;12:32;;13:30;;14:39;;2h 7m;5;DHO 23.4
2016-04-09;10:37;;10:40;;10:53;;16m;3;DHO 23.4
2016-04-09;12:32;;13:30;;14:39;;2h 7m;5;GQD 22.1
2016-04-09;10:37;;10:40;;10:53;;16m;3;GQD 22.1
2016-04-09;12:32;;13:30;;14:39;;2h 7m;5;ICV 20.3
2016-04-09;10:37;;10:40;;10:53;;16m;3;ICV 20.3
2016-04-06;10:00;;10:10;;10:45;;45m;5;DHO 23.4
2016-04-06;10:00;;10:10;;10:45;;45m;5;GQD 22.1
2016-04-06;10:00;;10:10;;10:45;;45m;5;ICV 20.3
2016-03-13;12:40;;12:52;;13:20;;40m;5;DHO 23.4
2016-03-13;12:40;;12:52;;13:20;;40m;5;GQD 22.1
2016-03-13;12:40;;12:52;;13:20;;40m;5;ICV 20.3
2016-03-12;13:04;;13:09;;13:27;;23m;5;DHO 23.4
2016-03-12;13:04;;13:09;;13:27;;23m;5;GQD 22.1
2016-03-12;13:04;;13:09;;13:27;;23m;5;ICV 20.3
2016-02-19;8:50;;9:01;;9:23;;33m;3;GQD 22.1
2016-02-19;8:50;;9:01;;9:23;;33m;3;ICV 20.3
2016-02-17;9:44;;10:03;;10:21;;37m;4;DHO 23.4
2016-02-17;9:44;;10:03;;10:21;;37m;4;GQD 22.1
2016-02-17;9:44;;10:03;;10:21;;37m;4;ICV 20.3
2016-02-16;15:41;;15:54;;16:16;;35m;3;DHO 23.4
